Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4,178.1666667,4,162.6666667,4,214.8333333,0.0,0.018181818,0.0,0.0,Dec,2,2,2,1,Returning_Visitor,False,False
0,0.0,0,0.0,6,319.0,0.0,0.05,0.0,0.0,Mar,1,1,6,1,Returning_Visitor,True,False
0,0.0,0,0.0,7,1544.75,0.014285714,0.033333333,0.0,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
3,17.0,0,0.0,62,1493.353846,0.00952381,0.04031746,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
5,111.3,0,0.0,138,4172.11572,0.0,0.008337205,17.63434621,0.0,Nov,2,2,9,2,Returning_Visitor,False,False
0,0.0,0,0.0,10,183.6666667,0.04,0.08,0.0,0.0,Feb,1,1,3,1,Returning_Visitor,False,False
1,202.0,0,0.0,2,8.0,0.0,0.066666667,0.0,0.0,Mar,2,2,8,6,New_Visitor,False,False
0,0.0,0,0.0,5,89.5,0.04,0.053333333,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,True,False
7,322.25,1,0.0,121,4875.106113,0.011806061,0.020025438,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,False,False
0,0.0,2,163.0,62,813.0519481,0.003225806,0.011827957,9.311854839,0.0,May,2,2,5,2,Returning_Visitor,True,False
0,0.0,2,18.0,1,46.0,0.0,0.066666667,0.0,0.0,Mar,2,2,7,10,Returning_Visitor,False,False
0,0.0,0,0.0,12,250.25,0.05,0.083333333,0.0,0.0,Dec,1,1,1,3,Returning_Visitor,True,False
0,0.0,1,212.5,21,1198.75,0.0,0.003174603,0.0,0.0,Mar,2,4,7,2,Returning_Visitor,False,False
0,0.0,1,117.0,8,404.0,0.025,0.0375,0.0,0.0,Dec,2,2,8,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,343.0,0.0,0.066666667,0.0,0.0,Nov,2,2,4,3,Other,False,False
8,186.5,0,0.0,57,1925.102381,0.005,0.0175,23.4154,0.0,May,2,2,3,6,Returning_Visitor,False,False
0,0.0,0,0.0,6,224.0,0.0,0.016666667,0.0,0.0,May,4,1,3,2,Returning_Visitor,False,False
1,11.88888889,0,0.0,111,3510.879903,9.83e-05,0.009438427,12.01656549,0.0,Mar,3,2,5,2,Returning_Visitor,False,False
5,473.1666667,2,195.4,111,4022.812148,0.003571429,0.012351425,0.0,0.0,Aug,3,2,9,5,Returning_Visitor,False,False
1,8.0,0,0.0,27,787.5357143,0.0,0.005142857,0.0,0.0,Nov,3,2,1,20,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,2,5,2,1,Other,False,False
1,20.0,0,0.0,283,9354.484111,0.003043735,0.023041703,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
2,68.54545455,3,60.0,91,2345.58914,0.002749141,0.012841597,51.27258615,0.0,Dec,2,5,7,2,Returning_Visitor,False,False
1,8.0,2,61.5,31,1126.25,0.0,0.024242424,0.0,0.0,Nov,4,2,1,2,Returning_Visitor,False,False
3,197.5,0,0.0,15,343.25,0.011764706,0.029411765,0.0,0.0,Dec,2,4,4,2,Returning_Visitor,False,False
1,0.0,0,0.0,34,2161.979365,0.00625,0.020233586,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,8,143.2,0.0,0.029166667,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,11,382.25,0.018181818,0.063636364,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
1,74.0,0,0.0,21,744.8333333,0.0,0.01,0.0,0.0,May,2,2,1,2,New_Visitor,True,False
